Fecha Semana,Cantidad Total,Cantidad Total Año,Importe Total,Cliente,Producto,Año,Mes,Semana,No. ventas,Promedio,P. Mes,P. Semana,Bimestre,Trimestre,Cuatrimestre,Semestre,Cantidad Año Pasado,Tasa Crecimiento Año Pasado,Tasa Crecimiento
2017-01-01,1200,282083,1944.0,ACROS,EI-S4TA,2017,1,1,1,5067.900452488688,4934.25,3380.0,1,1,1,1,0,,-0.18997646910835345
2017-01-09,7000,282083,11340.0,ACROS,EI-S4TA,2017,1,2,2,5067.900452488688,4934.25,5160.0,1,1,1,1,0,,-0.18997646910835345
2017-01-16,4000,282083,6480.0,ACROS,EI-S4TA,2017,1,3,1,5067.900452488688,4934.25,5300.0,1,1,1,1,0,,-0.18997646910835345
2017-01-24,5300,282083,8586.0,ACROS,EI-S4TA,2017,1,4,1,5067.900452488688,4934.25,5897.0,1,1,1,1,0,,-0.18997646910835345
2017-02-01,5300,282083,8586.0,ACROS,EI-S4TA,2017,2,1,1,5067.900452488688,4800.0,5000.0,1,1,1,1,0,,-0.18997646910835345
2017-02-09,3100,282083,5022.0,ACROS,EI-S4TA,2017,2,2,1,5067.900452488688,4800.0,4320.0,1,1,1,1,0,,-0.18997646910835345
2017-02-16,4200,282083,6804.0,ACROS,EI-S4TA,2017,2,3,1,5067.900452488688,4800.0,5520.0,1,1,1,1,0,,-0.18997646910835345
2017-02-24,4500,282083,7290.0,ACROS,EI-S4TA,2017,2,4,1,5067.900452488688,4800.0,4000.0,1,1,1,1,0,,-0.18997646910835345
2017-03-01,3900,282083,6318.0,ACROS,EI-S4TA,2017,3,1,1,5067.900452488688,5394.473684210527,6820.0,2,1,1,1,0,,-0.18997646910835345
2017-03-09,3200,282083,5184.0,ACROS,EI-S4TA,2017,3,2,1,5067.900452488688,5394.473684210527,5539.0,2,1,1,1,0,,-0.18997646910835345
2017-03-16,2400,282083,3888.0,ACROS,EI-S4TA,2017,3,3,1,5067.900452488688,5394.473684210527,4480.0,2,1,1,1,0,,-0.18997646910835345
2017-03-24,5400,282083,8748.0,ACROS,EI-S4TA,2017,3,4,2,5067.900452488688,5394.473684210527,4575.0,2,1,1,1,0,,-0.18997646910835345
2017-04-01,4500,282083,7069.5,ACROS,EI-S4TA,2017,4,1,1,5067.900452488688,4645.0,5340.0,2,2,1,1,0,,-0.18997646910835345
2017-04-16,4700,282083,7383.7,ACROS,EI-S4TA,2017,4,3,2,5067.900452488688,4645.0,5220.0,2,2,1,1,0,,-0.18997646910835345
2017-04-24,3100,282083,4870.1,ACROS,EI-S4TA,2017,4,4,1,5067.900452488688,4645.0,3580.0,2,2,1,1,0,,-0.18997646910835345
2017-05-01,4600,282083,7226.6,ACROS,EI-S4TA,2017,5,1,1,5067.900452488688,4323.476190476191,3432.8333333333335,3,2,2,1,0,,-0.18997646910835345
2017-05-09,6400,282083,10056.96,ACROS,EI-S4TA,2017,5,2,1,5067.900452488688,4323.476190476191,5560.0,3,2,2,1,0,,-0.18997646910835345
2017-05-16,5900,282083,9271.26,ACROS,EI-S4TA,2017,5,3,1,5067.900452488688,4323.476190476191,4440.0,3,2,2,1,0,,-0.18997646910835345
2017-05-24,5300,282083,8328.42,ACROS,EI-S4TA,2017,5,4,1,5067.900452488688,4323.476190476191,4039.2,3,2,2,1,0,,-0.18997646910835345
2017-06-01,5900,282083,9271.26,ACROS,EI-S4TA,2017,6,1,1,5067.900452488688,5049.9,6499.6,3,2,2,1,0,,-0.18997646910835345
2017-06-09,6300,282083,9899.82,ACROS,EI-S4TA,2017,6,2,1,5067.900452488688,5049.9,4320.0,3,2,2,1,0,,-0.18997646910835345
2017-06-16,13500,282083,21213.9,ACROS,EI-S4TA,2017,6,3,2,5067.900452488688,5049.9,5820.0,3,2,2,1,0,,-0.18997646910835345
2017-06-24,5600,282083,8799.84,ACROS,EI-S4TA,2017,6,4,1,5067.900452488688,5049.9,3560.0,3,2,2,1,0,,-0.18997646910835345
2017-07-01,6800,282083,10685.52,ACROS,EI-S4TA,2017,7,1,1,5067.900452488688,5090.0,4320.0,4,3,2,2,0,,-0.18997646910835345
2017-07-09,8200,282083,12885.48,ACROS,EI-S4TA,2017,7,2,1,5067.900452488688,5090.0,3980.0,4,3,2,2,0,,-0.18997646910835345
2017-07-16,6400,282083,10056.96,ACROS,EI-S4TA,2017,7,3,1,5067.900452488688,5090.0,5680.0,4,3,2,2,0,,-0.18997646910835345
2017-07-24,7800,282083,12256.92,ACROS,EI-S4TA,2017,7,4,1,5067.900452488688,5090.0,6380.0,4,3,2,2,0,,-0.18997646910835345
2017-08-01,5500,282083,8642.7,ACROS,EI-S4TA,2017,8,1,1,5067.900452488688,4977.055555555556,4520.0,4,3,2,2,0,,-0.18997646910835345
2017-08-09,6100,282083,9585.54,ACROS,EI-S4TA,2017,8,2,1,5067.900452488688,4977.055555555556,4120.0,4,3,2,2,0,,-0.18997646910835345
2017-08-16,6700,282083,10528.38,ACROS,EI-S4TA,2017,8,3,1,5067.900452488688,4977.055555555556,6050.0,4,3,2,2,0,,-0.18997646910835345
2017-08-24,5997,282083,9423.69,ACROS,EI-S4TA,2017,8,4,1,5067.900452488688,4977.055555555556,5546.75,4,3,2,2,0,,-0.18997646910835345
2017-09-01,10600,282083,16656.84,ACROS,EI-S4TA,2017,9,1,2,5067.900452488688,5282.333333333333,4840.0,5,3,3,2,0,,-0.18997646910835345
2017-09-09,12099,282083,19012.37,ACROS,EI-S4TA,2017,9,2,1,5067.900452488688,5282.333333333333,7174.75,5,3,3,2,0,,-0.18997646910835345
2017-09-16,3800,282083,5971.32,ACROS,EI-S4TA,2017,9,3,1,5067.900452488688,5282.333333333333,4325.0,5,3,3,2,0,,-0.18997646910835345
2017-09-24,7200,282083,11314.08,ACROS,EI-S4TA,2017,9,4,1,5067.900452488688,5282.333333333333,4976.6,5,3,3,2,0,,-0.18997646910835345
2017-10-01,6600,282083,10371.24,ACROS,EI-S4TA,2017,10,1,1,5067.900452488688,4947.058823529412,5700.0,5,4,3,2,0,,-0.18997646910835345
2017-10-09,5700,282083,8956.98,ACROS,EI-S4TA,2017,10,2,1,5067.900452488688,4947.058823529412,4300.0,5,4,3,2,0,,-0.18997646910835345
2017-10-16,5900,282083,9271.26,ACROS,EI-S4TA,2017,10,3,1,5067.900452488688,4947.058823529412,4950.0,5,4,3,2,0,,-0.18997646910835345
2017-10-24,5200,282083,8171.28,ACROS,EI-S4TA,2017,10,4,1,5067.900452488688,4947.058823529412,5000.0,5,4,3,2,0,,-0.18997646910835345
2017-11-01,6295,282083,9891.96,ACROS,EI-S4TA,2017,11,1,1,5067.900452488688,5292.705882352941,5398.75,6,4,3,2,0,,-0.18997646910835345
2017-11-09,6100,282083,9585.54,ACROS,EI-S4TA,2017,11,2,1,5067.900452488688,5292.705882352941,3480.0,6,4,3,2,0,,-0.18997646910835345
2017-11-16,8100,282083,12728.34,ACROS,EI-S4TA,2017,11,3,1,5067.900452488688,5292.705882352941,6997.25,6,4,3,2,0,,-0.18997646910835345
2017-11-24,5292,282083,8315.85,ACROS,EI-S4TA,2017,11,4,1,5067.900452488688,5292.705882352941,5748.0,6,4,3,2,0,,-0.18997646910835345
2017-12-01,14900,282083,23413.86,ACROS,EI-S4TA,2017,12,1,2,5067.900452488688,6865.833333333333,7900.0,6,4,3,2,0,,-0.18997646910835345
2017-12-09,6700,282083,10519.0,ACROS,EI-S4TA,2017,12,2,1,5067.900452488688,6865.833333333333,5072.5,6,4,3,2,0,,-0.18997646910835345
2017-12-16,8800,282083,13816.0,ACROS,EI-S4TA,2017,12,3,1,5067.900452488688,6865.833333333333,7625.0,6,4,3,2,0,,-0.18997646910835345
2018-01-01,2200,280477,3454.0,ACROS,EI-S4TA,2018,1,1,1,5067.900452488688,4934.25,3380.0,1,1,1,1,282083,-0.00569335975581655,-0.18997646910835345
