Fecha Semana,Cantidad Total,Cantidad Total Año,Cliente,Nombre,Producto,Año,Mes,Semana,Promedio,P. Mes,P. Semana,Bimestre,Trimestre,Cuatrimestre,Semestre,Cantidad Año Pasado,Tasa Crecimiento Año Pasado,Tasa Crecimiento,Cantidad Pronostico
2017-01-01 00:00:00,1200,282083,ACROS,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,2017,1,1,5067.900452488688,4934.25,3380.0,1,1,1,1,0,nan,-0.1899764691083534,0.0
2017-01-09 00:00:00,7000,282083,ACROS,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,2017,1,2,5067.900452488688,4934.25,5160.0,1,1,1,1,0,nan,-0.1899764691083534,0.0
2017-01-16 00:00:00,4000,282083,ACROS,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,2017,1,3,5067.900452488688,4934.25,5300.0,1,1,1,1,0,nan,-0.1899764691083534,0.0
2017-01-24 00:00:00,5300,282083,ACROS,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,2017,1,4,5067.900452488688,4934.25,5897.0,1,1,1,1,0,nan,-0.1899764691083534,0.0
2017-02-01 00:00:00,5300,282083,ACROS,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,2017,2,1,5067.900452488688,4800.0,5000.0,1,1,1,1,0,nan,-0.1899764691083534,0.0
2017-02-09 00:00:00,3100,282083,ACROS,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,2017,2,2,5067.900452488688,4800.0,4320.0,1,1,1,1,0,nan,-0.1899764691083534,0.0
2017-02-16 00:00:00,4200,282083,ACROS,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,2017,2,3,5067.900452488688,4800.0,5520.0,1,1,1,1,0,nan,-0.1899764691083534,0.0
2017-02-24 00:00:00,4500,282083,ACROS,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,2017,2,4,5067.900452488688,4800.0,4000.0,1,1,1,1,0,nan,-0.1899764691083534,0.0
2017-03-01 00:00:00,3900,282083,ACROS,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,2017,3,1,5067.900452488688,5394.473684210527,6820.0,2,1,1,1,0,nan,-0.1899764691083534,0.0
2017-03-09 00:00:00,3200,282083,ACROS,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,2017,3,2,5067.900452488688,5394.473684210527,5539.0,2,1,1,1,0,nan,-0.1899764691083534,0.0
2017-03-16 00:00:00,2400,282083,ACROS,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,2017,3,3,5067.900452488688,5394.473684210527,4480.0,2,1,1,1,0,nan,-0.1899764691083534,0.0
