Producto,Cliente,Cantidad Real,Cantidad Real N,Cantidad Pronosticada,Cantidad Pronosticada N,Diferencia,Diferencia Norm
EI-S4TA,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,113974,14.996578947368418,3830.2148962242,0.5039756442400263,110143.7851037758,14.49260330312839
EI-S4TA,PDQ SUPPLY,400,1.0,325.9795570698,0.8149488926745001,74.02044293019998,0.1850511073254999
BUJIA849,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,168000,14.933333333333339,195658.3383624693,17.39185229888616,-27658.33836246931,-2.4585189655528215
EI-S5TA,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,59100,10.189655172413795,9958.7813798656,1.7170312723906207,49141.2186201344,8.472623900023175
BUJIA656,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,284250,18.950000000000006,86151.6286544714,5.743441910298093,198098.3713455286,13.206558089701915
BUJIA656,PDQ SUPPLY,3000,1.0,2883.3323138185,0.9611107712728334,116.6676861814999,0.0388892287271666
BUJIA657,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,139500,16.909090909090903,80665.4814649596,9.7776341169648,58834.518535040406,7.131456792126103
BUJIA547,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,112000,7.859649122807017,85640.9353329598,6.009890198804196,26359.064667040206,1.8497589240028214
BUJIA604,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,120750,8.944444444444441,81340.2110306086,6.025200817082118,39409.788969391404,2.919243627362323
BUJIA605,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,138750,14.23076923076923,34583.9966214929,3.5470765765633745,104166.0033785071,10.683692654205856
BUJIA624,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,75000,16.666666666666664,38241.4758114782,8.498105735884044,36758.5241885218,8.16856093078262
BUJIA625,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,318003,12.848606060606057,149105.5320065932,6.024465939660331,168897.4679934068,6.824140120945726
EI-S6N,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,110380,16.23235294117647,111594.6400984036,16.410976485059354,-1214.6400984036009,-0.17862354388288537
EI-S6N,CONTROLADORA MABE SA DE CV,107500,13.109756097560975,116514.3737981543,14.20906997538467,-9014.373798154294,-1.099313877823695
BUJIA982,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,44250,11.799999999999997,17758.5256736435,4.7356068463049334,26491.4743263565,7.064393153695064
AR1.8K28,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,39000,13.0,21393.7115486404,7.131237182880134,17606.2884513596,5.868762817119866
BUJIA752,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,199500,13.299999999999999,262849.8291406317,17.52332194270878,-63349.829140631715,-4.223321942708781
BUJIA850,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,51000,9.714285714285714,10365.4181570145,1.974365363240857,40634.5818429855,7.739920351044857
BUJIA569,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,39750,8.833333333333334,15585.9387323409,3.4635419405201997,24164.0612676591,5.369791392813134
BUJIA479,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,11250,7.5,17537.7486104535,11.691832406968999,-6287.748610453498,-4.191832406968999
BUJI5060,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,5250,2.333333333333333,6256.2052763221,2.7805356783653776,-1006.2052763221,-0.4472023450320446
