Producto,Cliente,Cantidad Real,Cantidad Real N,Cantidad Pronosticada,Cantidad Pronosticada N,Diferencia,Diferencia Norm
EI-S4TA,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,113974,14.996578947368418,12233.4203109595,1.6096605672315132,101740.5796890405,13.386918380136905
EI-S4TA,PDQ SUPPLY,400,1.0,5755.8080000008,14.389520000002001,-5355.8080000008,-13.389520000002001
BUJIA849,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,168000,14.933333333333339,199574.9820416124,17.73999840369888,-31574.982041612413,-2.8066650703655416
EI-S5TA,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,59100,10.189655172413795,29432.0152373367,5.074485385747707,29667.9847626633,5.115169786666089
BUJIA656,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,284250,18.950000000000006,101748.7420964973,6.78324947309982,182501.2579035027,12.166750526900186
BUJIA656,PDQ SUPPLY,3000,1.0,37406.8870430509,12.468962347683632,-34406.8870430509,-11.468962347683632
BUJIA657,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,139500,16.909090909090903,109564.5954468507,13.280557023860691,29935.404553149303,3.628533885230212
BUJIA547,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,112000,7.859649122807017,104289.6218305211,7.318569953019024,7710.378169478907,0.5410791697879933
BUJIA604,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,120750,8.944444444444441,88839.3897447798,6.580695536650355,31910.610255220206,2.3637489077940863
BUJIA605,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,138750,14.23076923076923,43104.6192732122,4.420986592124328,95645.3807267878,9.8097826386449
BUJIA624,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,75000,16.666666666666664,43440.5964223981,9.653465871644022,31559.4035776019,7.013200795022643
BUJIA625,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,318003,12.848606060606057,150412.8335460066,6.077286203879054,167590.1664539934,6.771319856727003
EI-S6N,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,110380,16.23235294117647,112094.6357153803,16.48450525226181,-1714.6357153802965,-0.2521523110853394
EI-S6N,CONTROLADORA MABE SA DE CV,107500,13.109756097560975,126654.1878296424,15.445632662151512,-19154.187829642397,-2.335876564590537
BUJIA982,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,44250,11.799999999999997,25602.4039987537,6.827307733000986,18647.5960012463,4.972692266999011
AR1.8K28,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,39000,13.0,41435.7520404102,13.811917346803401,-2435.7520404102033,-0.8119173468034013
BUJIA752,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,199500,13.299999999999999,271798.5590426849,18.119903936178993,-72298.55904268491,-4.819903936178994
BUJIA850,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,51000,9.714285714285714,26043.889456782,4.960740848910857,24956.110543218,4.753544865374857
BUJIA569,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,39750,8.833333333333334,32916.0990371676,7.314688674926134,6833.900962832398,1.5186446584072
BUJIA479,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,11250,7.5,35319.2657517453,23.546177167830198,-24069.265751745297,-16.046177167830198
BUJI5060,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,5250,2.333333333333333,18327.1533259383,8.145401478194799,-13077.1533259383,-5.812068144861466
BUJIA877,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,84750,11.3,86610.5780124838,11.548077068331175,-1860.5780124838057,-0.24807706833117393
BUJIA980,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,26250,5.833333333333334,20344.1394117494,4.520919869277644,5905.860588250602,1.3124134640556901
EI-S6NC,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,3598,4.006681514476615,9002.2461350559,10.024772978904121,-5404.246135055901,-6.018091464427506
BUJIA979,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,6750,9.0,14317.1019795277,19.089469306036936,-7567.101979527701,-10.089469306036936
BUJIA981,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,6750,4.5,14259.3443122541,9.506229541502734,-7509.344312254099,-5.006229541502734
EI-S5NP,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,100,1.0,2076.305976167,20.76305976167,-1976.3059761670002,-19.76305976167
EI-S5N,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,2537,6.3425,3063.7591738494,7.659397934623501,-526.7591738494002,-1.3168979346235004
BUJIA481,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,2250,3.0,14789.6536534072,19.719538204542932,-12539.6536534072,-16.719538204542932
BUJIA630,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,717750,14.283582089552239,388571.5331712025,7.732766829277662,329178.4668287975,6.550815260274576
BUJIA631,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,710995,15.047513227513228,477299.8135597502,10.101583355761909,233695.1864402498,4.94592987175132
BUJIA628,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,214496,19.066311111111112,134709.665962095,11.974192529964,79786.334037905,7.092118581147112
BUJIA632,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,338999,14.580602150537638,197126.6907936604,8.478567345963889,141872.3092063396,6.10203480457375
BUJIA633,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,144750,10.722222222222221,98505.9152899841,7.296734465924748,46244.0847100159,3.425487756297473
BUJIA637,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,14250,6.333333333333333,23365.0273732573,10.384456610336578,-9115.0273732573,-4.051123277003245
BUJIA636,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,5250,7.0,14759.2408161478,19.678987754863734,-9509.2408161478,-12.678987754863734
BUJIA040,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,29396,9.798666666666668,28221.7849683312,9.4072616561104,1174.2150316687985,0.39140501055626764
V2,CONTROLADORA MABE SA DE CV,3,3.0,24247.7669476676,24247.7669476676,-24244.7669476676,-24244.7669476676
V2,"CALENTADORES DE AMERICA, S.A. DE C.V.",1302,1.6275,7375.7761498524,9.219720187315499,-6073.7761498524,-7.592220187315499
V2,"INDUGLOB, S.A.",380730,2.2852941176470587,168416.4089307572,1.0109028147104273,212313.5910692428,1.2743913029366314
V2,IMBERA S.A. DE C.V.,35,1.75,617.0379129546,30.851895647729997,-582.0379129546,-29.101895647729997
LPERA,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,1319,4.710714285714285,3173.4301291667,11.333679032738216,-1854.4301291667002,-6.62296474702393
FS12V16W,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",20,1.0,1688.8984390933,84.444921954665,-1668.8984390933,-83.444921954665
SELCLEAN,CONTROLADORA MABE SA DE CV,16650,16.81818181818182,20723.9715009468,20.933304546410906,-4073.971500946798,-4.115122728229085
BUJ528G1,CONTROLADORA MABE SA DE CV,757750,25.25833333333334,562485.9307033828,18.749531023446092,195264.06929661718,6.508802309887248
BU185G19,CONTROLADORA MABE SA DE CV,319889,19.224098557692308,51019.7988381155,3.0660936801752103,268869.20116188447,16.158004877517097
EBIS3TAH,CONTROLADORA MABE SA DE CV,1838,3.0633333333333335,11429.8599274189,19.049766545698166,-9591.8599274189,-15.986433212364833
SELCLEAG,CONTROLADORA MABE SA DE CV,330,2.2,3040.5495069084,20.270330046056,-2710.5495069084,-18.070330046056
BU185G17,CONTROLADORA MABE SA DE CV,90566,9.24142857142857,141773.1148443963,14.466644371877173,-51207.1148443963,-5.225215800448604
BU185G14,CONTROLADORA MABE SA DE CV,8630,10.273809523809526,5445.0206910083,6.482167489295595,3184.9793089917002,3.791642034513931
BUJ891G1,CONTROLADORA MABE SA DE CV,169550,19.488505747126446,64455.796692147,7.408712263465173,105094.203307853,12.079793483661273
BUJ891G2,CONTROLADORA MABE SA DE CV,7650,8.5,20568.8075027136,22.854230558570666,-12918.8075027136,-14.354230558570666
BUJ891G3,CONTROLADORA MABE SA DE CV,6450,7.166666666666668,6601.9667246654,7.335518582961555,-151.96672466539985,-0.16885191629488716
