Fecha Semana,Nombre,Producto,Cantidad Pronostico
2022-12-09,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,40.65332672790469
2022-12-16,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,64.47790894351715
2023-01-01,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,49.25180110952533
2023-01-09,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,44.782898727332345
2023-01-16,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,60.61111355184099
2023-01-24,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,61.84119562988667
2023-02-01,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,516.7248637406611
2023-02-09,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,41.54756174655993
2023-02-16,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,46.066860341924645
2023-02-24,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,29.617165132748227
2023-03-01,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,68.42685723701565
2023-03-09,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,69.45514412758892
2023-03-16,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,40.98828223554997
2023-03-24,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,48.95106100899722
2023-04-01,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,60.18510572474362
2023-04-09,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,49.642572269085534
2023-04-16,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,71.12799193690799
2023-04-24,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,624.3514061919042
2023-05-01,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,113.84350814589507
2023-05-09,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,69.15676735042389
2023-05-16,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,52.723493709711654
2023-05-24,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,EI-S4TA,44.44369311103189
